column_name,observed_value,frequency,percentage
longitude,-118.31,162,0.7848837209302326
longitude,-118.3,160,0.7751937984496124
longitude,-118.29,148,0.7170542635658914
longitude,-118.27,144,0.6976744186046512
longitude,-118.32,142,0.687984496124031
longitude,-118.28,141,0.6831395348837209
longitude,-118.35,140,0.6782945736434108
longitude,-118.36,138,0.6686046511627907
longitude,-118.19,135,0.6540697674418605
longitude,-118.37,128,0.6201550387596899
longitude,-118.25,128,0.6201550387596899
longitude,-118.2,126,0.6104651162790697
longitude,-118.14,125,0.6056201550387598
longitude,-118.26,121,0.5862403100775194
longitude,-118.13,121,0.5862403100775194
longitude,-118.18,120,0.5813953488372093
longitude,-118.34,119,0.5765503875968992
longitude,-118.21,118,0.5717054263565892
longitude,-118.15,116,0.562015503875969
longitude,-118.12,112,0.5426356589147286
longitude,-118.1,109,0.5281007751937985
longitude,-118.38,107,0.5184108527131783
longitude,-118.43,106,0.5135658914728682
longitude,-118.17,106,0.5135658914728682
longitude,-122.27,103,0.49903100775193804
longitude,-118.16,103,0.49903100775193804
longitude,-118.33,102,0.4941860465116279
longitude,-117.9,100,0.4844961240310077
longitude,-118.22,100,0.4844961240310077
longitude,-118.24,100,0.4844961240310077
longitude,-118.11,100,0.4844961240310077
longitude,-118.08,99,0.4796511627906977
longitude,-118.42,98,0.4748062015503876
longitude,-118.4,98,0.4748062015503876
longitude,-118.09,98,0.4748062015503876
longitude,-118.41,97,0.4699612403100776
longitude,-117.96,97,0.4699612403100776
longitude,-122.26,96,0.46511627906976744
longitude,-122.04,96,0.46511627906976744
longitude,-122.41,96,0.46511627906976744
longitude,-118.39,96,0.46511627906976744
longitude,-118.44,96,0.46511627906976744
longitude,-122.25,94,0.45542635658914726
longitude,-122.42,94,0.45542635658914726
longitude,-117.93,94,0.45542635658914726
longitude,-117.97,94,0.45542635658914726
longitude,-117.95,93,0.45058139534883723
longitude,-122.28,92,0.44573643410852715
longitude,-118.23,91,0.4408914728682171
longitude,-117.92,90,0.436046511627907
longitude,-117.25,89,0.43120155038759694
longitude,-117.98,88,0.4263565891472868
longitude,-117.99,88,0.4263565891472868
longitude,-122.43,88,0.4263565891472868
longitude,-122.08,87,0.42151162790697677
longitude,-122.03,83,0.4021317829457365
longitude,-117.91,82,0.39728682170542634
longitude,-122.44,81,0.3924418604651163
longitude,-118.46,80,0.3875968992248062
longitude,-117.89,80,0.3875968992248062
longitude,-118.02,80,0.3875968992248062
longitude,-117.08,80,0.3875968992248062
longitude,-118.45,79,0.38275193798449614
longitude,-117.87,79,0.38275193798449614
longitude,-117.09,79,0.38275193798449614
longitude,-122.02,77,0.37306201550387597
longitude,-122.01,77,0.37306201550387597
longitude,-117.88,76,0.3682170542635659
longitude,-117.94,76,0.3682170542635659
longitude,-118.03,76,0.3682170542635659
longitude,-122.29,75,0.3633720930232558
longitude,-118.01,75,0.3633720930232558
longitude,-118.04,75,0.3633720930232558
longitude,-122.24,74,0.3585271317829457
longitude,-122.07,74,0.3585271317829457
longitude,-117.13,74,0.3585271317829457
longitude,-122.47,73,0.3536821705426357
longitude,-122.23,72,0.3488372093023256
longitude,-118.07,72,0.3488372093023256
longitude,-117.07,72,0.3488372093023256
longitude,-122.45,71,0.3439922480620155
longitude,-117.24,71,0.3439922480620155
longitude,-117.11,71,0.3439922480620155
longitude,-118.06,70,0.3391472868217054
longitude,-117.06,70,0.3391472868217054
longitude,-121.96,69,0.33430232558139533
longitude,-121.92,69,0.33430232558139533
longitude,-117.23,68,0.32945736434108525
longitude,-117.05,68,0.32945736434108525
longitude,-121.99,67,0.3246124031007752
longitude,-121.98,67,0.3246124031007752
longitude,-122.0,67,0.3246124031007752
longitude,-117.14,66,0.31976744186046513
longitude,-118.0,65,0.31492248062015504
longitude,-121.94,64,0.31007751937984496
longitude,-122.49,64,0.31007751937984496
longitude,-122.46,64,0.31007751937984496
longitude,-122.3,63,0.30523255813953487
longitude,-122.09,63,0.30523255813953487
longitude,-121.89,63,0.30523255813953487
longitude,-121.88,63,0.30523255813953487
longitude,-117.86,63,0.30523255813953487
longitude,-121.3,63,0.30523255813953487
longitude,-117.1,63,0.30523255813953487
longitude,-121.83,61,0.2955426356589147
longitude,-118.47,61,0.2955426356589147
longitude,-117.27,61,0.2955426356589147
longitude,-117.12,61,0.2955426356589147
longitude,-122.18,60,0.29069767441860467
longitude,-121.97,60,0.29069767441860467
longitude,-122.06,59,0.2858527131782946
longitude,-122.48,59,0.2858527131782946
longitude,-122.31,58,0.2810077519379845
longitude,-121.32,58,0.2810077519379845
longitude,-122.21,57,0.2761627906976744
longitude,-121.91,57,0.2761627906976744
longitude,-121.9,57,0.2761627906976744
longitude,-118.05,57,0.2761627906976744
longitude,-118.48,57,0.2761627906976744
longitude,-122.2,56,0.2713178294573643
longitude,-122.19,56,0.2713178294573643
longitude,-122.05,56,0.2713178294573643
longitude,-121.93,56,0.2713178294573643
longitude,-121.29,56,0.2713178294573643
longitude,-122.16,55,0.26647286821705424
longitude,-122.14,55,0.26647286821705424
longitude,-121.87,55,0.26647286821705424
longitude,-117.66,55,0.26647286821705424
longitude,-122.13,54,0.2616279069767442
longitude,-121.84,54,0.2616279069767442
longitude,-121.28,54,0.2616279069767442
longitude,-117.22,54,0.2616279069767442
longitude,-121.95,53,0.2567829457364341
longitude,-117.31,53,0.2567829457364341
longitude,-117.18,52,0.25193798449612403
longitude,-117.04,52,0.25193798449612403
longitude,-122.22,51,0.24709302325581395
longitude,-122.12,51,0.24709302325581395
longitude,-117.21,51,0.24709302325581395
longitude,-122.17,50,0.24224806201550386
longitude,-122.1,49,0.2374031007751938
longitude,-121.82,49,0.2374031007751938
longitude,-122.32,49,0.2374031007751938
longitude,-122.33,48,0.23255813953488372
longitude,-122.11,48,0.23255813953488372
longitude,-121.44,48,0.23255813953488372
longitude,-121.27,48,0.23255813953488372
